Terre Haute Police Department, IN,12
Pinal County Sheriff's Office, AZ,12
Baltimore and Ohio Railroad Police Department, RR,12
Cumberland County Sheriff's Office, NC,12
West Virginia Department of Prohibition, WV,12
Macon Police Department, GA,12
Albany Police Department, NY,12
Ventura County Sheriff's Office, CA,12
Gary Police Department, IN,12
Cook County Highway Police, IL,12
Westchester County Parkway Police Department, NY,12
Florida Game and Fresh Water Fish Commission, FL,12
Texas Parks and Wildlife Department - Law Enforcement Division, TX,12
United States Department of the Treasury - Bureau of Alcohol, Tobacco and Firearms, US,12
Missouri Department of Corrections, MO,11
Lexington Police Department, KY,11
Fort Smith Police Department, AR,11
Waco Police Department, TX,11
Pima County Sheriff's Department, AZ,11
Scranton Police Department, PA,11
Corpus Christi Police Department, TX,11
Tucson Police Department, AZ,11
Tacoma Police Department, WA,11
Syracuse Police Department, NY,11
Calcasieu Parish Sheriff's Office, LA,11
Oregon Department of Corrections, OR,11
Chicago, Rock Island and Pacific Railway Police Department, RR,11
Fresno County Sheriff's Department, CA,11
Michigan Department of Natural Resources, MI,11
Louisville and Nashville Railroad Police Department, RR,11
Tuscaloosa Police Department, AL,11
Chatham County Police Department, GA,11
Newport News Police Department, VA,11
Flint Police Department, MI,11
Escambia County Sheriff's Office, FL,11
Kansas Highway Patrol, KS,11
Nebraska State Patrol, NE,11
Alabama Department of Corrections, AL,11
Jefferson Parish Sheriff's Office, LA,11
Navajo Division of Public Safety, TR,11
Salt Lake County Sheriff's Office, UT,10
Wilmington Police Department, DE,10
San Diego County Sheriff's Department, CA,10
Texas State Police, TX,10
Portsmouth Police Department, VA,10
New York City Department of Correction, NY,10
Pueblo Police Department, CO,10
Hamilton County Sheriff's Department, TN,10
Huntsville Police Department, AL,10
Springfield Police Department, IL,10
McDowell County Sheriff's Department, WV,10
Waterbury Police Department, CT,10
Louisiana Department of Corrections, LA,10
Erie Police Department, PA,10
South Carolina Department of Natural Resources, SC,10
St. Johns County Sheriff's Office, FL,10
Topeka Police Department, KS,10
Multnomah County Sheriff's Office, OR,10
United States Department of Agriculture - Forest Service Law Enforcement and Investigations, US,10
United States Department of Justice - Immigration and Naturalization Service, US,10
Anchorage Police Department, AK,10
Greensboro Police Department, NC,10
West Palm Beach Police Department, FL,10
Maine State Police, ME,10
Collier County Sheriff's Office, FL,10
North Carolina Wildlife Resources Commission, NC,10
Baltimore County Police Department, MD,10
Camden Police Department, NJ,10
Iowa State Patrol, IA,10
Richmond Police Department, CA,10
Guam Police Department, GU,10
Alaska State Troopers, AK,10
Placer County Sheriff's Department, CA,9
Cameron County Sheriff's Office, TX,9
Wilmington Police Department, NC,9
Brooklyn Police Department, NY,9
Wheeling Police Department, WV,9
Covington Police Department, KY,9
Indiana Department of Correction, IN,9
Lynn Police Department, MA,9
Lincoln County Sheriff's Department, NM,9
Rock Island Police Department, IL,9
Hamilton County Sheriff's Office, OH,9
Knox County Sheriff's Office, TN,9
Bessemer Police Department, AL,9
Fort Bend County Sheriff's Office, TX,9
Atlantic City Police Department, NJ,9
Oklahoma County Sheriff's Office, OK,9
New York Police Department, NY,9
Pulaski County Sheriff's Department, KY,9
Bibb County Sheriff's Office, GA,9
Rahway Police Department, NJ,9
Henrico County Police Department, VA,9
New York State Environmental Conservation Police, NY,9
Cocke County Sheriff's Department, TN,9
Chester Police Department, PA,9
Colbert County Sheriff's Department, AL,9
Springfield Police Department, OH,9
Mississippi Department of Corrections, MS,9
Kansas Department of Corrections, KS,9
Fayetteville Police Department, NC,9
Montana Department of Fish, Wildlife and Parks, MT,9
Metropolitan Police Department, MA,9
Brazoria County Sheriff's Office, TX,9
Tulsa County Sheriff's Office, OK,9
